Concept,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
http://www.wikidata.org/entity/Q35509,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://www.wikidata.org/entity/Q7397,0.0021,0.001,0.0018,0.0017,0.0014,0.0019,0.0011,0.001,0.0016,0.0024,0.0007,0.0009,0.0016,0.0013,0.0009,0.0012,0.0015,0.0025,0.0013,0.0035,0.0013,0.0014,0.0031,0.0016,0.0019,0.0001,0.0015,0.0006,0.0005,0.0007,0.0008,0,0,0
http://dbpedia.org/ontology/SpeedwayRider,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Anime,0.0001,0.0001,0.0004,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0.0013,0.0001,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0
http://dbpedia.org/ontology/Fern,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/FigureSkater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0,0,0,0
http://dbpedia.org/ontology/Musical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Film,0.0036,0.0032,0.0038,0.0036,0.0039,0.0041,0.0045,0.0042,0.0044,0.0044,0.0029,0.0033,0.0037,0.0047,0.0036,0.0047,0.0054,0.0038,0.0034,0.004,0.0038,0.0039,0.0042,0.0043,0.0031,0.0009,0.0021,0.0018,0.0022,0.0028,0.0031,0,0,0
http://dbpedia.org/ontology/Cardinal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0,0,0
http://dbpedia.org/ontology/ProtectedArea,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0
